"PROBE_NAME","ACCNUM","SYMBOL","DESC","ACHROMOSOME","normal1","normal2","normal3","normal4","normal5","normal6","normal7","cancer1","cancer2","cancer3","cancer4","cancer5","cancer6","cancer7"
"1000_at","X60188","MAPK3","mitogen-activated protein kinase 3",16,2067.3,1555.3,2256.7,2055,1480.8,975.4,2761,1245.4,1096,777.7,1827.1,2396.4,1656.1,605.9
"1001_at","X60957","TIE1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1",1,22,432.5,49.7,24.4,85.3,22.2,152.8,104,108.7,127.4,112.6,251,33.4,26.1
"1002_f_at","X65962","CYP2C19","cytochrome P450, family 2, subfamily C, polypeptide 19",10,15.3,60.5,62.9,204.3,31.7,33.6,256.5,21,44.3,68.2,6,84.2,25.4,25.7
"1003_s_at","X68149","CXCR5","chemokine (C-X-C motif) receptor 5",11,135.8,206.4,72.4,51.9,380.4,135.7,324.2,31.5,47.1,28.6,39.3,46.3,33.5,30.7
"1004_at","X68149","CXCR5","chemokine (C-X-C motif) receptor 5",11,108.7,379.4,834.7,294.8,379.1,489.8,141.9,94.5,70.8,63.4,65,246.7,87.5,88.4
"1005_at","X68277","DUSP1","dual specificity phosphatase 1",5,135,192.1,465.4,241.1,102.3,368,595.2,73.1,4328.5,129.5,21.5,1188,373.6,308.1
"1006_at","X07820","MMP10","matrix metallopeptidase 10 (stromelysin 2)",11,14,34.9,252,190.6,127.3,55,148.8,11.4,3.8,2.3,3.6,50.7,11.6,25.9
"1007_s_at","U48705","DDR1","discoidin domain receptor tyrosine kinase 1",6,2178.3,1736.2,1013.5,1300.2,1293.3,2317.5,1334.2,1697.5,4266.2,2448.8,2502.4,2528.7,2826.8,1118.1
"1008_f_at","U50648","EIF2AK2","eukaryotic translation initiation factor 2-alpha kinase 2",2,2645.2,9193.3,20855.6,5052.4,10942.5,5170.2,4529.3,2446.2,4752.1,1391.4,2340,853,703.7,463.6
"1009_at","U51004","HINT1","histidine triad nucleotide binding protein 1",5,5687.2,1597.4,251.9,686.9,204.5,127.4,1955.5,4743.4,3697.7,1499.2,3630.6,1814.4,2550.3,2880.2
"100_g_at","Y08200","RABGGTA","Rab geranylgeranyltransferase, alpha subunit",14,983.8,512.3,661.7,1791,384.6,944.8,763.8,599.4,771.6,678.3,940,658.3,699.1,328.7
"1010_at","U53442","MAPK11","mitogen-activated protein kinase 11",22,27.7,73.9,189.1,462.2,55.3,350.1,95.4,16.2,57.3,47.9,184.4,128.4,65.2,28.5
"1011_s_at","U54778","YWHAE","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide",17,277,233.3,415.1,275.8,75.3,49,139.2,1727.7,2196.2,1029.4,149.5,244.1,1484,404.5
"1012_at","U57317","KAT2B","K(lysine) acetyltransferase 2B",3,20.9,23.3,34.9,39.2,238.9,219.5,136.2,8.1,16,6.1,16.9,60.8,21.3,5.5
"1013_at","U59913","SMAD5","SMAD family member 5",5,117.1,7,414.1,73.2,101.6,220.8,9.8,60.5,67.7,69.1,25.4,33,7.9,34.7
"1014_at","U60325","POLG","polymerase (DNA directed), gamma",15,737.1,198.3,155.8,1088.4,262.7,1028.8,734.8,802.1,815.2,661,949.7,919.8,1000.2,1618.9
"1015_s_at","U62293","LIMK1","LIM domain kinase 1",7,108.1,177.7,91.8,105.2,426.4,177,140.9,13.9,86.5,47.6,38.1,92.8,101.6,223.9
"1016_s_at","U70981","IL13RA2","interleukin 13 receptor, alpha 2","X",35.9,206.2,85.2,341.2,287.2,87,95.8,27.2,50.7,4.6,34,63.6,22.7,40.9
"1017_at","U73737","MSH6","mutS homolog 6 (E. coli)",2,273.7,268.5,41.6,138.8,463,209,334.5,174.4,107,149.1,131.3,206.8,247.2,216.1
"1018_at","U81787","WNT10B","wingless-type MMTV integration site family, member 10B",12,169.1,227.2,103.2,451,392.6,287.6,643.5,39.6,184,95.2,122.1,123.2,126,290.6
"1019_g_at","U81787","WNT10B","wingless-type MMTV integration site family, member 10B",12,655.8,1586.2,867.9,703,1478.3,1210.5,1024.7,206.7,271.2,292.7,444.6,318.3,123.5,348.2
"101_at","Y09305","DYRK4","dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4",12,258.2,56.2,566.2,85.4,56.9,60.3,63.4,259.8,310.5,204.4,324.4,105.6,146.8,83.1
"1020_s_at","U85611","CIB1","calcium and integrin binding 1 (calmyrin)",15,391.8,1381.4,926.6,860,1494.2,794.8,1143.2,569.1,335.5,451.6,500.4,1335.1,959.3,690.9
"1021_at","J00219","IFNG","interferon, gamma",12,95.5,190.6,89.6,142.9,151.7,309,253.2,52.1,39.4,44.2,79.4,115.6,13.7,96.3
"1022_f_at","V00542","IFNA14","interferon, alpha 14",9,72.9,242.4,1004.3,326.6,1549,725.9,756.2,74.1,65.8,74.2,90.2,196.8,60.1,80.6
"1023_at","X02158","EPO","erythropoietin",7,41.5,93.3,139.1,137.7,101.9,72.3,56.4,21.8,25.6,25.2,74.5,25,39,30.3
"1024_at","X02612","CYP1A1","cytochrome P450, family 1, subfamily A, polypeptide 1",15,115.5,145.4,179.2,259.6,176.2,208.1,63.7,26.3,30.5,61.7,195.6,294.6,51.8,37.4
"1025_g_at","X02612","CYP1A1","cytochrome P450, family 1, subfamily A, polypeptide 1",15,113.9,674.9,371.1,179.2,626.2,106.8,553.6,68.1,46.7,53.4,85.9,99.5,82.1,130.4
"1026_s_at","U41068","COL11A2","collagen, type XI, alpha 2",6,73.9,243.7,542.9,651.5,592.3,173.5,508.9,49.2,126.1,53.3,82.4,65.6,59.7,144.1
